id,posKey,name,shortName,category,subcategory,modifiers,active,sortOrder
"dennys-7614-105827584","DNY 1086659","New! Eternia’s Premium Breakfast Slam","New! Eternia’s Premium B","SLAMS","Masters of the Universe","Scrambled|Scrambled with cheese|Egg Whites|Sunny Side Up|Over Easy|Over Medium|Over Hard|No Eggs|Hash Browns|Hash Browns with Cheese|Seasoned Red Skinned Potatoes|French Fries|Seasoned Fries|Seasonal Fruit|No Side|2 Bacon Strips + 2 Sausage Links|4 Bacon Strips|4 Sausage links|4 Turkey Bacon Strips|No Meat|Signature Diner Blend Coffee|Minute Maid® Orange Juice","True","1"
"dennys-7614-105827634","DNY 1082879","New! He-Man Battle Burger","New! He-Man Battle Burge","BURGERS","Masters of the Universe","Sub Dr. Prager's® Veggie Patty|Add An Extra Beef Patty|No Lettuce|No Onion|No Pickles|No Tomato|Add Avocado|Add Bacon Strips|Add Slice of Aged White Cheddar|Add Slice of American Cheese|Add Slice of Swiss Cheese|French Fries|Seasoned Fries|Hash Browns|Hash Browns with Cheese|Beer Battered Onion Rings|Red-Skinned Potatoes|Fresh Seasonal Fruit|No Side|Coke®|Diet Coke®|Sprite®","True","2"
"dennys-7614-105828000","DNY 1082885","New! Jr. Grayskull’s Epic Cracklecakes","New! Jr. Grayskull’s Epi","KIDS","Masters of the Universe","1 Bacon Strip/ 1 Sausage|Wavy Fries|Grapes|2 Sausage Links|1 Egg|2 Bacon Strips|Hash Browns|Fresh Banana Slices|Jr. Garden Salad|3 Buttermilk Silver Dollar Pancakes|2 Turkey Bacon Strips|Sweet Corn|Broccoli","True","3"
"dennys-7614-101295942","DNY 1014385","Grand Slamwich Combo","Grand Slamwich Combo","SANDWICHES","Combos","Add Avocado|Add Bacon Strips|Add Slice of Aged White Cheddar|Add Slice of American Cheese|Add Slice of Swiss Cheese|Hash Browns|Hash Browns with Cheese|Seasoned Red Skinned Potatoes|French Fries|Seasoned Fries|Seasonal Fruit|No Side|Coca-Cola®|Diet Coke®|Sprite®|Dr Pepper®|Barq's® Root Beer|Hi-C® Fruit Punch|Coca-Cola® Zero Sugar|Signature Diner Blend Coffee|Signature Diner Blend Coffee - Decaf|Minute Maid® Lemonade|Minute Maid® Apple Juice|Minute Maid® Orange Juice","True","4"
"dennys-7614-101297169","DNY 1014386","Moons Over My Hammy Combo","Moons Over My Hammy Comb","SANDWICHES","Combos","Add avocado|2 bacon strips|Hash Browns|Hash Browns with Cheese|Seasoned Red Skinned Potatoes|French Fries|Seasoned Fries|Seasonal Fruit|No Side|Coca-Cola®|Diet Coke®|Sprite®|Dr Pepper®|Barq's® Root Beer|Hi-C® Fruit Punch|Coca-Cola® Zero Sugar|Signature Diner Blend Coffee|Signature Diner Blend Coffee - Decaf|Minute Maid® Lemonade|Minute Maid® Apple Juice|Minute Maid® Orange Juice","True","5"
"dennys-7614-101298396","DNY 1014387","Slamburger Combo","Slamburger Combo","BURGERS","Combos","Sub Dr. Prager's® Veggie Patty|Add An Extra Beef Patty|Sunny Side Up|Scrambled|Scrambled with Cheese|Egg White|Over Easy|Over Medium|Over Hard|No Egg|Add Avocado|Add Bacon Strips|Add Slice of Aged White Cheddar|Add Slice of American Cheese|Add Slice of Swiss Cheese|French Fries|Seasoned Fries|Hash Browns|Hash Browns with Cheese|Beer Battered Onion Rings|Red-Skinned Potatoes|Fresh Seasonal Fruit|No Side|Coca-Cola®|Diet Coke®|Sprite®|Dr Pepper®|Barq's® Root Beer|Hi-C® Fruit Punch|Coca-Cola® Zero Sugar|Signature Diner Blend Coffee|Signature Diner Blend Coffee - Decaf|Minute Maid® Lemonade|Minute Maid® Apple Juice|Minute Maid® Orange Juice","True","6"
"dennys-7614-101299637","DNY 1014388","Double Cheeseburger Combo","Double Cheeseburger Comb","BURGERS","Combos","American 2 Slices|Cheddar 2 Slices|Swiss 2 Slices|No Cheese|No Lettuce|No Onion|No Pickles|No Tomato|Add Avocado|Add Bacon Strips|Add Slice of Aged White Cheddar|Add Slice of American Cheese|Add Slice of Swiss Cheese|French Fries|Seasoned Fries|Hash Browns|Hash Browns with Cheese|Beer Battered Onion Rings|Red-Skinned Potatoes|Fresh Seasonal Fruit|No Side|Coca-Cola®|Diet Coke®|Sprite®|Dr Pepper®|Barq's® Root Beer|Hi-C® Fruit Punch|Coca-Cola® Zero Sugar|Signature Diner Blend Coffee|Signature Diner Blend Coffee - Decaf|Minute Maid® Lemonade|Minute Maid® Apple Juice|Minute Maid® Orange Juice","True","7"
"dennys-7614-101300864","DNY 1014389","Cali Club Combo","Cali Club Combo","SANDWICHES","Combos","Add Bacon Strips|French Fries|Seasoned Fries|Hash Browns|Hash Browns with Cheese|Beer Battered Onion Rings|Red-Skinned Potatoes|Fresh Seasonal Fruit|No Side|Coca-Cola®|Diet Coke®|Sprite®|Dr Pepper®|Barq's® Root Beer|Hi-C® Fruit Punch|Coca-Cola® Zero Sugar|Signature Diner Blend Coffee|Signature Diner Blend Coffee - Decaf|Minute Maid® Lemonade|Minute Maid® Apple Juice|Minute Maid® Orange Juice","True","8"
"dennys-7614-80698328","DNY 754828","Berry Waffle Slam®","Berry Waffle Slam®","SLAMS","Classic Slams","Scrambled|Scrambled with cheese|Egg Whites|Sunny Side Up|Over Easy|Over Medium|Over Hard|No Eggs|2 Bacon Strips + 2 Sausage Links|4 Bacon Strips|4 Sausage links|No Meat|Signature Diner Blend Coffee|Minute Maid® Orange Juice","True","9"
"dennys-7614-80698679","DNY 846934","Waffle Slam®","Waffle Slam®","SLAMS","Classic Slams","Scrambled|Scrambled with cheese|Egg Whites|Sunny Side Up|Over Easy|Over Medium|Over Hard|No Eggs|2 Bacon Strips + 2 Sausage Links|4 Bacon Strips|4 Sausage links|No Meat|Signature Diner Blend Coffee|Minute Maid® Orange Juice","True","10"
